Bug-ID,Project,Classification,Summary,Description,Link,Enviroment,llm_pred,Explanation
243559,Dali JPA Tools,Other,Exchanging entity objects contents when renaming a certain entity,"If I have a JPA project with two or more JPA entities in it and I rename one of the entities, the result is that not only the corresponding underlying GenericJavaPersistentType object is renamed, but all the GenericJavaPersistentType objects are renamed in random manner and in result all these objects are becoming some other objects - they've exchanged their names and attributes. It sounds a little bit unclear, so please follow the steps described below to reproduce it. 1. Start IDE 2. Create a new 'Eclipse application' debug configuration and start it 3. In the debugged IDE open Java EE perspective 4. Create a new JPA project 5. In the first open IDE, in org.eclipse.jpt.core.internal.context.java.GenericJavaPersistentType put a break point at the beginning of the method 'setName(...)' 6. Create two (or more) JPA entities in this project and memorize or write down the debug ids of the newly created GenericJavaPersistentType objects 7. In the project explorer right-click of one of the entities source and select 'Refactor->Rename' 8. Rename the chosen entity with some new valid name Result: You will notice that not only the selected entity is renamed, but all of the entities are renamed. Something more - they will be renamed randomly with the new and old names. At the end of this you will have a consistent set of GenericJavaPersistentType objects, but with exchanged names (and attributes) For example: Let's say that after creation we have two entities: E1 - debug id: 169 E2 - debug id: 184 After renaming E1 to E111 we will have: E111 - debug id: 184 E2 - debug id: 169 (E1 became E2 and E2 became E111) NOTE: Sometimes all the entities are renamed exactly in the way they have to be renamed E1 becomes E111 and E2 becomes E2, so you may have to repeat the steps with the other object to reproduce the problem. It's a big blocker for my work, because I'm implementing a software module, which requires the PersistentType objects to stay the way they are - not to ""become some other"" objects. I'll try to implement a JUnit test ASAP which catches the problem.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=243559,ECLIPSE,Other,"The bug report describes an issue where renaming a JPA entity causes other entities to be renamed incorrectly, indicating a problem with the underlying code logic that handles entity renaming and persistence rather than a configuration issue. The steps to reproduce involve creating and renaming entities within the IDE, pointing to a code defect."
460657,ECP,Other,No Error on Missing View Model in Debug Mode,Missing view model in view model extension point in debug mode does not show any error.,https://bugs.eclipse.org/bugs/show_bug.cgi?id=460657,ECLIPSE,Other,The bug report describes a missing error message when a view model is missing. This is more related to error handling in the code rather than a configuration issue.
268443,Java Server Faces,Other,FacesConfig Editor preferences page needs more info for screen readers,"Version: 3.4.1, Build ID: M20080911-1700 Steps To Reproduce: 1) Create a Web project with the JavaServer Faces configuration. 2) Open the Preferences dialog and go to Web -> JavaServer Faces Tools -> FacesConfig Editor. 3) If you tab around the options on this page, Window-Eyes 6.1 and Microsoft Inspect Objects don't have enough information to fully describe these controls. - ""Canvas"", ""Icons"" and ""Connection Lines"" (the section labels) are never read by the screen reader at all. - Background color & Grid Color (under Canvas) are read as just ""Color Selector"" (something like ""Grid Color - Color Selector"" would be more helpful so you know what color you're setting). The same problem exists with Label color & Line color under Connection Lines. - ""Label font: [label]"" under Connection Lines is never read. Only ""Change"" (the button label) is, so it's hard to know what this button will change. The same problem exists with ""Label font: [label]"" under Icons. These are accessibility issues.",https://bugs.eclipse.org/bugs/show_bug.cgi?id=268443,ECLIPSE,Configuration,"The bug report describes issues with the FacesConfig Editor preferences page, specifically how screen readers interact with the configuration options. It mentions labels and color settings within the editor, indicating a problem with how configuration options are presented and accessed, rather than a code defect."
145412,z_Archived,Other,README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792),Bugzilla 126792 reported a log import timeout problem on an iSeries V4R5 system. A readme item should be added for this problem,https://bugs.eclipse.org/bugs/show_bug.cgi?id=145412,ECLIPSE,Configuration,"The bug report describes a timeout issue during log import on a specific system configuration (iSeries V4R5). This suggests a configuration-related problem, possibly due to resource constraints or incorrect settings for that environment."
157858,Bugzilla,Other,review: Add support for Insiders; Private comments; Private Attachments; Patch for July 12 tip,"Joel Peshkin <bugreport@peshkin.net> has requested review for bug #143826: Add support for Insiders, Private comments, Private Attachments, attachment #91216 [details] [diff] [review]: Patch for July 12 tip. http://bugzilla.mozilla.org/attachment.cgi?id=91216&action=edit Additional Comments from Requester: Changes as noted in prior review have been incorporated",157858,MOZILLA,Other,"The bug report describes a review request for a patch, which is related to code changes rather than configuration issues. It does not mention any configuration files, settings, or deployment issues."
157886,Bugzilla,Other,review: Bugzilla should support translated/localized templates; Eighth version: Whitespace fixes; remove ($) prototyping,"Tobias Burnus <burnus@gmx.de> has requested review for bug #126955: Bugzilla should support translated/localized templates, attachment #88445 [details] [diff] [review]: Eighth version: Whitespace fixes, remove ($) prototyping. http://bugzilla.mozilla.org/attachment.cgi?id=88445&action=edit Additional Comments from Requester: Please review. Note that this shouldn't prevent a more sophisticated approches since the defprefs 'languages' and 'defaultlanguages' and also the HTTP Accept Language header part should be rather generic.",157886,MOZILLA,Other,"The bug report discusses adding support for translated/localized templates in Bugzilla. While localization can involve configuration, the core issue seems to be about adding new functionality (template translation) rather than a misconfiguration of existing settings. The mention of 'defprefs' and 'languages' suggests configuration, but the primary focus is on code changes to support localization."
172878,Bugzilla,Other,review: Enhancements to generic reporting; Patch v.3,"Gervase Markham <gerv@mozilla.org> has requested review for bug #171437: Enhancements to generic reporting, attachment #101892 [details] [diff] [review]: Patch v.3. http://bugzilla.mozilla.org/attachment.cgi?id=101892&action=edit Additional Comments from Requester: Try this for size :-) Gerv",172878,MOZILLA,Other,"The bug report describes a request for review of a patch related to generic reporting enhancements. It does not mention any configuration files, settings, or deployment issues. Therefore, it is not a configuration bug."
6278,Core,Other,(feature) List properties needs to be implemented,using 5/11 build of apprunner. The following functionality needs to be implemented for editor implement character properties implement paragraph properties,6278,MOZILLA,Other,"The bug report describes a missing feature rather than an issue caused by misconfiguration. It's a feature request, not a configuration problem."
102252,Core,Other,Add CS Styles for Ethiopian/Eritrean Languages,"From Bugzilla Helper: User-Agent: Mozilla/4.7 [en] (X11; U; Linux 2.2.13-7mdk i686) BuildID: 20010927 This is a feature request for support of ordered list styles used in Ethiopic script by Ethiopian and Eritrean languages. Reproducible: Always Steps to Reproduce: 1. view a web page with an am_ET locale setting. 2. n/a 3. Actual Results: appears in english style Expected Results: Amharic style is requested I've put together some documentation on how ordered lists are expected to work here: http://www.ethiopic.org/Collation/OrderedLists.html An Unicode 3.0 compliant font is required to read the html file, a font with Ethiopic and Roman chars that is suitable is here: http://www.senamirmir.com/download/jiret.zip",102252,MOZILLA,Configuration,"The bug report describes a feature request related to locale settings (am_ET) and the expected display style for ordered lists in Ethiopian/Eritrean languages. This involves configuring the system to correctly render content based on the specified locale and font settings, indicating a configuration-related issue rather than a code defect."
13867,Graveyard,Other,need managed tools/software infrastructure,"Right now each host has its own set of installed programs, which makes updating them a hassle. It might be nice to do something similar to Netscape's internal lude repository. Even if mozilla.org doesn't use NFS to share tools, they could be rsyced from a designated master server.",13867,MOZILLA,Configuration,"The bug report describes a need for managed tools and software infrastructure, indicating a configuration issue related to system setup and deployment. It suggests centralizing and synchronizing tools across hosts, which falls under configuration management."
21775,Core,Other,nsMultiMixedConverter needs to add nsIStreamObserver to it's QI method,fix checked in 12/20/99 7:00pm pac time,21775,MOZILLA,Other,"The bug report describes a missing interface implementation in a specific class, which is a code defect rather than a configuration issue. It doesn't mention any configuration files, settings, or deployment issues."
27162,Ant,Other,"SQL task doesn't work with Informix IDS 9,2",Any SQL statement I try to execute using <sql> task fails reporting C:\x\veve\build.xml:12: java.sql.SQLException: Method can be called only once. Prior ant 1.6.0 everything worked fine. Now we cannot move from 1.5.4 to 1.6.x. I guess it's due to the following broken code in org.apache.tools.ant.taskdefs.SQLExec.execSql() method: ... ret = statement.getMoreResults(); updateCount = statement.getUpdateCount(); resultSet = statement.getResultSet(); } while (ret); The Informix JDBC driver refuses to perform getUpdateCount() method if the 'ret' is false. The fix is very simple - just to test 'ret' before calling updateCount(): ... ret = statement.getMoreResults(); if (ret) { updateCount = statement.getUpdateCount(); resultSet = statement.getResultSet(); } } while (ret);,27162,APACHE ,Other,"The bug report describes a problem with the SQL task in Ant when used with Informix IDS 9.2. The issue is caused by the order of calls to JDBC methods (getMoreResults(), getUpdateCount(), getResultSet()) in the SQLExec.execSql() method. The Informix JDBC driver refuses to perform getUpdateCount() if getMoreResults() returns false. The fix involves adding a check for 'ret' before calling updateCount(). This indicates a code defect rather than a configuration issue."
COCOON-36,Cocoon,Other,db-authenticator wont reuse pool connections,"if I use the db-authenticator action with the sample or anything else, the jdbc connections in the pool for (in my case mysql) dont get reused. For example, try using an incorrect name to login to the ""protected"" example and as soon as your attempts reach the pool-controller max (specified in cocoon.xconf), errors in the logfile say:  ""org.apache.avalon.excalibur.datasource.JdbcConnection: could not be instantiated. java.lang.InstantiationException: Ran out of resources to instantiate""",https://issues.apache.org/jira/browse/COCOON-36?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Configuration,"The bug report describes an issue with database connection pooling in the db-authenticator, specifically that connections are not being reused, leading to resource exhaustion. This is directly related to the configuration of the connection pool (pool-controller max specified in cocoon.xconf) and how it interacts with the database authentication mechanism."
142683,Community,Other,Search result of Bugzilla isn't correct,"The search result of Bugzilla isn't correct. Use following conditions to search in https://bugs.eclipse.org/bugs/query.cgi: Classification = BIRT Product = BIRT Status = UNCONFIRMED, NEW, ASSIGNED and REOPENED Priority = P1 and P2 The search result includes 3 bugs, and the bug status are ASSIGNED. But the actual bug status are not ASSIGNED when you check into bug details. Please find the screen shot of search result in attachment. You can use following URL to reproduce this issue: https://bugs.eclipse.org/bugs/buglist.cgi?query_format=advanced&short_desc_type=allwordssubstr&short_desc=&classification=BIRT&product=BIRT&target_milestone=2.1.0+RC3&long_desc_type=allwordssubstr&long_desc=&bug_file_loc_type=allwordssubstr&bug_file_loc=&status_whiteboard_type=allwordssubstr&status_whiteboard=&keywords_type=allwords&keywords=&bug_status=UNCONFIRMED&bug_status=NEW&bug_status=ASSIGNED&bug_status=REOPENED&priority=P1&priority=P2&emailtype1=substring&email1=&emailtype2=substring&email2=&bugidtype=include&bug_id=&votes=&chfieldfrom=&chfieldto=Now&chfieldvalue=&cmdtype=doit&order=Reuse+same+sort+as+last+time&field0-0-0=noop&type0-0-0=noop&value0-0-0=",https://bugs.eclipse.org/bugs/show_bug.cgi?id=142683,ECLIPSE,Configuration,"The bug report describes an issue with the search functionality in Bugzilla, where the search results do not match the specified search criteria (status of bugs). This indicates a problem with how the search query is configured or how Bugzilla is interpreting the search parameters, rather than a code defect."
115810,z_Archiv,Other,a '-' in de database name crashes the connection,"When I try to view the tables in a database, named POCW0506-B, the connection crashes with the following error A SQL Exception was reported during this operation. You have an error in your SQL syntax. Check the manual that corresponds to your MySQL server version for the right syntax to use near '-B' at line 1 if I hit reconnect or disconnect, eclipse crashes entirely, the server is a mysql server, server type set to mysql 4.0 Wouter",115810,ECLIPSE,Configuration,"The bug report indicates that a hyphen in the database name is causing a SQL syntax error, which suggests an issue with how the database connection is configured or how the database name is being handled in the configuration. This is not a code defect but a configuration problem."
157945,Bugzilla,Other,review: Remembered query options need regrouping; Patch v.1,"Gervase Markham <gerv@mozilla.org> has requested review for bug #150776: Remembered query options need regrouping, attachment #90117 [details] [diff] [review]: Patch v.1. http://bugzilla.mozilla.org/attachment.cgi?id=90117&action=edit Additional Comments from Requester: This is definitely better than the current system; I say we check it in, guage reaction and iterate, rather than trying to get it perfect first time.",157945,MOZILLA,Other,"The bug report describes a review request for a patch related to query options in Bugzilla. It does not mention any configuration files, environment variables, or system settings. Therefore, it is not a configuration bug."
167701,Bugzilla,Other,review: Query - multiple-select product (and probably component) broken; Patch,"Joel Peshkin <bugreport@peshkin.net> has requested review for bug #167596: Query - multiple-select product (and probably component) broken, attachment #98580 [details] [diff] [review]: Patch . http://bugzilla.mozilla.org/attachment.cgi?id=98580&action=edit Additional Comments from Requester: This is a small one",167701,MOZILLA,Other,"The bug report describes a problem with a query involving multiple selections, which suggests a code defect rather than a configuration issue. The mention of a patch further supports this classification."
30847,Fop - Now in Jira,Other,[patch] Block.java loop terminator fails due to a bug,"#8778 was fixed with a really helpful patch, but a small bug(?) in Block.java does not fix #8778 to always work as expected. Please review this patch and apply if correct.",https://bz.apache.org/bugzilla/show_bug.cgi?id=30847,APACHE ,Other,"The bug report describes a code defect in Block.java, not a configuration issue. It mentions a patch to fix a bug, indicating a problem in the source code itself."
SVN-392,Subversion,Other,error messages don't show the error name,"The error system does not make it easy to return human-readable error names to the user.  Although the particular text associated with an error is returned, the standard name of the error (""SVN_ERR_FS_NO_SUCH_FISH"" or whatnot) is not shown.  It would help developers a lot to see the name whenever an error is printed.  What we need is some sort of automatic mapping between the error names in the code and strings that match those names.  Lots of ways we could do this. Heck, we could (this is ridiculous, but...) just use ""const char *"" as the type for error codes, and then     #define SVN_ERR_FS_NO_SUCH_FISH ""SVN_ERR_FS_NO_SUCH_FISH""    #define SVN_ERR_SOMETHING_ELSE  ""SVN_ERR_SOMETHING_ELSE""  which, while a bit ugly, is at least an easy mapping to maintain.  Anyway, this is not to propose a specific solution, just to remind us that we do want to solve this problem.",https://issues.apache.org/jira/browse/SVN-392?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Other,"The bug report describes a problem with error message formatting and the lack of human-readable error names, which is more related to code design and error handling than configuration."
XERCESC-233,Xerces-C++,Other,Parser do not throw exceptions,"If i have this file: begin bad.xml no XML here! end  and try to parse it i would expect to get an exception from any parser, but this code hides problems until later  DOM_Parser parser; parser.parse (""bad.xml""); DOM_Document doc = parser.getDocument();  // doc is bad at this point  Shouldn't parser throw exceptions if non-XML stuff is fed into it?",https://issues.apache.org/jira/browse/XERCESC-233?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Other,"The bug report describes a scenario where the XML parser does not throw an exception when parsing an invalid XML file. This indicates a defect in the parser's error handling logic rather than a configuration issue. The problem lies in the code's inability to properly detect and report errors, not in any misconfiguration of the system."
STR-336,Struts ,Other,MultiboxTag.doAfterBody() always aborts page rendering,"Using the Multibox tag in Dynamo 5.1, page rendering is aborted whenever a multibox tag is used.  It appears that the doAfterbody() method is returning SKIP_PAGE, instead of (more likely) SKIP_BODY. I have updated my source accordingly, and it fixed the bug.",https://issues.apache.org/jira/browse/STR-336?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Other,"The bug report describes an issue with the MultiboxTag.doAfterBody() method returning SKIP_PAGE instead of SKIP_BODY, which is a code defect rather than a configuration problem. The fix involves modifying the source code, indicating a code-level issue."
XERCESC-162,Xerces-C++,Other,getLength error,"When using IDOM to parse a memory buffer, the parse succeeds and I can use a rcursive function to traverse the entire DOM tree without any exception. When performing a rootElement->getElementsByTagName(XMLCh *) call, the call returns a valid DOM_Nodelist *, but when the getLength() method is called on the node list, a segmentation gault occurs. I have traced this to the item(0) call within the getLength method (IDeepNodeImpl.cpp) and within the IDeepNodeImpl::item call the exception occurs on an if statement (line 209).",https://issues.apache.org/jira/browse/XERCESC-162?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Other,"The bug report describes a segmentation fault when calling getLength() on a DOM_NodeList, which is likely due to a code defect in the Xerces-C++ library's implementation of IDeepNodeImpl rather than a configuration issue. The problem occurs within the item() call inside getLength(), suggesting a problem with memory management or pointer handling within the code itself."
EMAIL-6,Commons Email,Other,[email] Errors when sending MultiPartEmail with another email as an attachment,"Take a look at the code below:  if( debugMode ) { if( logger.isInfoEnabled() )  { logger.info( ""DEBUG mode is on. Sending email to "" + debugEmailAddress ); } MultiPartEmail debugEmail = new MultiPartEmail(); if( logger.isDebugEnabled() )  { debugEmail.setDebug( true ); } debugEmail.setBounceAddress( debugEmailAddress ); debugEmail.setFrom( debugEmailAddress ); debugEmail.addReplyTo( debugEmailAddress ); debugEmail.addTo( debugEmailAddress ); debugEmail.setSubject( ""Test Message: "" + email.getSubject() ); debugEmail.setMsg( ""The email manager is operating in test mode. "" + ""Attached is a message it would have sent had it been running for real."" ); debugEmail.addPart( new MimeMultipart( new MimePartDataSource( email.getMimeMessage() ) ) );  debugEmail.setMailSession( emailSession ); messageId = debugEmail.send(); }  I get the following exception when I call debugEmail.send():  2006-03-12 09:07:01,140 [ main] INFO com.djinnsoft.jade.email.EmailManager: DEBUG mode is on. Sending email to test@djinnsoft.com 2006-03-12 09:07:01,640 [ main] WARN com.djinnsoft.jade.email.EmailManager: Error emailing sent item 2000035: Sending the email to the following server failed : null:25 javax.mail.SendFailedException: Sending failed; nested exception is: javax.mail.MessagingException: IOException while sending message; nested exception is: java.io.IOException: ""text/plain"" DataContentHandler requires String object, was given object of type class javax.mail.internet.MimeMultipart at javax.mail.Transport.send0(Transport.java:219) at javax.mail.Transport.send(Transport.java:81) at org.apache.commons.mail.Email.sendMimeMessage(Email.java:863) at org.apache.commons.mail.Email.send(Email.java:898) at com.djinnsoft.jade.email.EmailManager.processMailing(EmailManager.java:1205)  (line 1205 corresponds to ""messageId = debugEmail.send();"" in my code)",https://issues.apache.org/jira/browse/EMAIL-6?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Other,"The bug report describes an exception during the sending of an email with an attachment. The exception indicates an issue with the DataContentHandler and the type of object being passed, suggesting a problem with how the email is being constructed or how the attachment is being handled. This points to a code defect rather than a configuration issue."
HTTPCLIENT-210,HttpComponents HttpClient,Other,Exception handling in HttpClient requires redesign,"When I use httpclient2.0-alpha3 and setTimeout(60000), after the specified time, I would like to see InterruptedIOException thrown, but I got HttpRecoverableException instead, which is pretty general. I would like to see the original exception. Thanks",https://issues.apache.org/jira/browse/HTTPCLIENT-210?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC,APACHE ,Configuration,"The bug report describes an issue with the timeout configuration in HttpClient, where the expected InterruptedIOException is not thrown, indicating a problem with how the timeout is configured or handled."
