Bug-ID;Project;Classification;Summary;Description;Link;Enviroment;Tags;Dataset
268443;Java Server Faces;Other;FacesConfig Editor preferences page needs more info for screen readers;"Version: 3.4.1, Build ID: M20080911-1700 Steps To Reproduce: 1) Create a Web project with the JavaServer Faces configuration. 2) Open the Preferences dialog and go to Web -> JavaServer Faces Tools -> FacesConfig Editor. 3) If you tab around the options on this page, Window-Eyes 6.1 and Microsoft Inspect Objects don't have enough information to fully describe these controls. - ""Canvas"", ""Icons"" and ""Connection Lines"" (the section labels) are never read by the screen reader at all. - Background color & Grid Color (under Canvas) are read as just ""Color Selector"" (something like ""Grid Color - Color Selector"" would be more helpful so you know what color you're setting). The same problem exists with Label color & Line color under Connection Lines. - ""Label font: [label]"" under Connection Lines is never read. Only ""Change"" (the button label) is, so it's hard to know what this button will change. The same problem exists with ""Label font: [label]"" under Icons. These are accessibility issues.";https://bugs.eclipse.org/bugs/show_bug.cgi?id=268443;ECLIPSE;;NABATS
145412;z_Archived;Other;README: Add readme item for Log Import problem on iSeries V4R5 (bugzilla 126792);Bugzilla 126792 reported a log import timeout problem on an iSeries V4R5 system. A readme item should be added for this problem;https://bugs.eclipse.org/bugs/show_bug.cgi?id=145412;ECLIPSE;;NABATS
157858;Bugzilla;Other;"review: Add support for Insiders; Private comments; Private Attachments; Patch for July 12 tip";Joel Peshkin <bugreport@peshkin.net> has requested review for bug #143826: Add support for Insiders, Private comments, Private Attachments, attachment #91216 [details] [diff] [review]: Patch for July 12 tip. http://bugzilla.mozilla.org/attachment.cgi?id=91216&action=edit Additional Comments from Requester: Changes as noted in prior review have been incorporated;157858;MOZILLA;;NABATS
157886;Bugzilla;Other;"review: Bugzilla should support translated/localized templates; Eighth version: Whitespace fixes; remove ($) prototyping";Tobias Burnus <burnus@gmx.de> has requested review for bug #126955: Bugzilla should support translated/localized templates, attachment #88445 [details] [diff] [review]: Eighth version: Whitespace fixes, remove ($) prototyping. http://bugzilla.mozilla.org/attachment.cgi?id=88445&action=edit Additional Comments from Requester: Please review. Note that this shouldn't prevent a more sophisticated approches since the defprefs 'languages' and 'defaultlanguages' and also the HTTP Accept Language header part should be rather generic.;157886;MOZILLA;;NABATS
172878;Bugzilla;Other;"review: Enhancements to generic reporting; Patch v.3";Gervase Markham <gerv@mozilla.org> has requested review for bug #171437: Enhancements to generic reporting, attachment #101892 [details] [diff] [review]: Patch v.3. http://bugzilla.mozilla.org/attachment.cgi?id=101892&action=edit Additional Comments from Requester: Try this for size :-) Gerv;172878;MOZILLA;;NABATS
6278;Core;Other;(feature) List properties needs to be implemented;using 5/11 build of apprunner. The following functionality needs to be implemented for editor implement character properties implement paragraph properties;6278;MOZILLA;;NABATS
102252;Core;Other;Add CS Styles for Ethiopian/Eritrean Languages;"From Bugzilla Helper: User-Agent: Mozilla/4.7 [en] (X11; U; Linux 2.2.13-7mdk i686) BuildID: 20010927 This is a feature request for support of ordered list styles used in Ethiopic script by Ethiopian and Eritrean languages. Reproducible: Always Steps to Reproduce: 1. view a web page with an am_ET locale setting. 2. n/a 3. Actual Results: appears in english style Expected Results: Amharic style is requested I've put together some documentation on how ordered lists are expected to work here: http://www.ethiopic.org/Collation/OrderedLists.html An Unicode 3.0 compliant font is required to read the html file, a font with Ethiopic and Roman chars that is suitable is here: http://www.senamirmir.com/download/jiret.zip";102252;MOZILLA;;NABATS
13867;Graveyard;Other;need managed tools/software infrastructure;Right now each host has its own set of installed programs, which makes updating them a hassle. It might be nice to do something similar to Netscape's internal lude repository. Even if mozilla.org doesn't use NFS to share tools, they could be rsyced from a designated master server.;13867;MOZILLA;;NABATS
21775;Core;Other;nsMultiMixedConverter needs to add nsIStreamObserver to it's QI method;fix checked in 12/20/99 7:00pm pac time;21775;MOZILLA;;NABATS
27162;Ant;Other;SQL task doesn't work with Informix IDS 9,2;"Any SQL statement I try to execute using <sql> task fails reporting C:\x\veve\build.xml:12: java.sql.SQLException: Method can be called only once. Prior ant 1.6.0 everything worked fine. Now we cannot move from 1.5.4 to 1.6.x. I guess it's due to the following broken code in org.apache.tools.ant.taskdefs.SQLExec.execSql() method: ... ret = statement.getMoreResults(); updateCount = statement.getUpdateCount(); resultSet = statement.getResultSet(); } while (ret); The Informix JDBC driver refuses to perform getUpdateCount() method if the 'ret' is false. The fix is very simple - just to test 'ret' before calling updateCount(): ... ret = statement.getMoreResults(); if (ret) { updateCount = statement.getUpdateCount(); resultSet = statement.getResultSet(); } } while (ret);";27162;APACHE ;;NABATS
COCOON-36;Cocoon;Other;db-authenticator wont reuse pool connections;"if I use the db-authenticator action with the sample or anything else, the jdbc connections in the pool for (in my case mysql) dont get reused. For example, try using an incorrect name to login to the ""protected"" example and as soon as your attempts reach the pool-controller max (specified in cocoon.xconf), errors in the logfile say:  ""org.apache.avalon.excalibur.datasource.JdbcConnection: could not be instantiated. java.lang.InstantiationException: Ran out of resources to instantiate""";https://issues.apache.org/jira/browse/COCOON-36?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
142683;Community;Other;Search result of Bugzilla isn't correct;The search result of Bugzilla isn't correct. Use following conditions to search in https://bugs.eclipse.org/bugs/query.cgi: Classification = BIRT Product = BIRT Status = UNCONFIRMED, NEW, ASSIGNED and REOPENED Priority = P1 and P2 The search result includes 3 bugs, and the bug status are ASSIGNED. But the actual bug status are not ASSIGNED when you check into bug details. Please find the screen shot of search result in attachment. You can use following URL to reproduce this issue: https://bugs.eclipse.org/bugs/buglist.cgi?query_format=advanced&short_desc_type=allwordssubstr&short_desc=&classification=BIRT&product=BIRT&target_milestone=2.1.0+RC3&long_desc_type=allwordssubstr&long_desc=&bug_file_loc_type=allwordssubstr&bug_file_loc=&status_whiteboard_type=allwordssubstr&status_whiteboard=&keywords_type=allwords&keywords=&bug_status=UNCONFIRMED&bug_status=NEW&bug_status=ASSIGNED&bug_status=REOPENED&priority=P1&priority=P2&emailtype1=substring&email1=&emailtype2=substring&email2=&bugidtype=include&bug_id=&votes=&chfieldfrom=&chfieldto=Now&chfieldvalue=&cmdtype=doit&order=Reuse+same+sort+as+last+time&field0-0-0=noop&type0-0-0=noop&value0-0-0=;https://bugs.eclipse.org/bugs/show_bug.cgi?id=142683;ECLIPSE;;NABATS
115810;z_Archiv;Other;a '-' in de database name crashes the connection;When I try to view the tables in a database, named POCW0506-B, the connection crashes with the following error A SQL Exception was reported during this operation. You have an error in your SQL syntax. Check the manual that corresponds to your MySQL server version for the right syntax to use near '-B' at line 1 if I hit reconnect or disconnect, eclipse crashes entirely, the server is a mysql server, server type set to mysql 4.0 Wouter;115810;ECLIPSE;;NABATS
157945;Bugzilla;Other;"review: Remembered query options need regrouping; Patch v.1";"Gervase Markham <gerv@mozilla.org> has requested review for bug #150776: Remembered query options need regrouping, attachment #90117 [details] [diff] [review]: Patch v.1. http://bugzilla.mozilla.org/attachment.cgi?id=90117&action=edit Additional Comments from Requester: This is definitely better than the current system; I say we check it in, guage reaction and iterate, rather than trying to get it perfect first time.";157945;MOZILLA;;NABATS
167701;Bugzilla;Other;"review: Query - multiple-select product (and probably component) broken; Patch";Joel Peshkin <bugreport@peshkin.net> has requested review for bug #167596: Query - multiple-select product (and probably component) broken, attachment #98580 [details] [diff] [review]: Patch . http://bugzilla.mozilla.org/attachment.cgi?id=98580&action=edit Additional Comments from Requester: This is a small one;167701;MOZILLA;;NABATS
30847;Fop - Now in Jira;Other;[patch] Block.java loop terminator fails due to a bug;#8778 was fixed with a really helpful patch, but a small bug(?) in Block.java does not fix #8778 to always work as expected. Please review this patch and apply if correct.;https://bz.apache.org/bugzilla/show_bug.cgi?id=30847;APACHE ;;NABATS
SVN-392;Subversion;Other;error messages don't show the error name;"The error system does not make it easy to return human-readable error names to the user.  Although the particular text associated with an error is returned, the standard name of the error (""SVN_ERR_FS_NO_SUCH_FISH"" or whatnot) is not shown.  It would help developers a lot to see the name whenever an error is printed.  What we need is some sort of automatic mapping between the error names in the code and strings that match those names.  Lots of ways we could do this. Heck, we could (this is ridiculous, but...) just use ""const char *"" as the type for error codes, and then     #define SVN_ERR_FS_NO_SUCH_FISH ""SVN_ERR_FS_NO_SUCH_FISH""    #define SVN_ERR_SOMETHING_ELSE  ""SVN_ERR_SOMETHING_ELSE""  which, while a bit ugly, is at least an easy mapping to maintain.  Anyway, this is not to propose a specific solution, just to remind us that we do want to solve this problem.";https://issues.apache.org/jira/browse/SVN-392?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
XERCESC-233;Xerces-C++;Other;Parser do not throw exceptions;"If i have this file: begin bad.xml no XML here! end  and try to parse it i would expect to get an exception from any parser, but this code hides problems until later  DOM_Parser parser; parser.parse (""bad.xml""); DOM_Document doc = parser.getDocument();  // doc is bad at this point  Shouldn't parser throw exceptions if non-XML stuff is fed into it?";https://issues.apache.org/jira/browse/XERCESC-233?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
STR-336;Struts ;Other;MultiboxTag.doAfterBody() always aborts page rendering;Using the Multibox tag in Dynamo 5.1, page rendering is aborted whenever a multibox tag is used.  It appears that the doAfterbody() method is returning SKIP_PAGE, instead of (more likely) SKIP_BODY. I have updated my source accordingly, and it fixed the bug.;https://issues.apache.org/jira/browse/STR-336?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
XERCESC-162;Xerces-C++;Other;getLength error;When using IDOM to parse a memory buffer, the parse succeeds and I can use a rcursive function to traverse the entire DOM tree without any exception. When performing a rootElement->getElementsByTagName(XMLCh *) call, the call returns a valid DOM_Nodelist *, but when the getLength() method is called on the node list, a segmentation gault occurs. I have traced this to the item(0) call within the getLength method (IDeepNodeImpl.cpp) and within the IDeepNodeImpl::item call the exception occurs on an if statement (line 209).;https://issues.apache.org/jira/browse/XERCESC-162?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
EMAIL-6;Commons Email;Other;[email] Errors when sending MultiPartEmail with another email as an attachment;"Take a look at the code below:  if( debugMode ) { if( logger.isInfoEnabled() )  { logger.info( ""DEBUG mode is on. Sending email to "" + debugEmailAddress ); } MultiPartEmail debugEmail = new MultiPartEmail(); if( logger.isDebugEnabled() )  { debugEmail.setDebug( true ); } debugEmail.setBounceAddress( debugEmailAddress ); debugEmail.setFrom( debugEmailAddress ); debugEmail.addReplyTo( debugEmailAddress ); debugEmail.addTo( debugEmailAddress ); debugEmail.setSubject( ""Test Message: "" + email.getSubject() ); debugEmail.setMsg( ""The email manager is operating in test mode. "" + ""Attached is a message it would have sent had it been running for real."" ); debugEmail.addPart( new MimeMultipart( new MimePartDataSource( email.getMimeMessage() ) ) );  debugEmail.setMailSession( emailSession ); messageId = debugEmail.send(); }  I get the following exception when I call debugEmail.send():  2006-03-12 09:07:01,140 [ main] INFO com.djinnsoft.jade.email.EmailManager: DEBUG mode is on. Sending email to test@djinnsoft.com 2006-03-12 09:07:01,640 [ main] WARN com.djinnsoft.jade.email.EmailManager: Error emailing sent item 2000035: Sending the email to the following server failed : null:25 javax.mail.SendFailedException: Sending failed; nested exception is: javax.mail.MessagingException: IOException while sending message; nested exception is: java.io.IOException: ""text/plain"" DataContentHandler requires String object, was given object of type class javax.mail.internet.MimeMultipart at javax.mail.Transport.send0(Transport.java:219) at javax.mail.Transport.send(Transport.java:81) at org.apache.commons.mail.Email.sendMimeMessage(Email.java:863) at org.apache.commons.mail.Email.send(Email.java:898) at com.djinnsoft.jade.email.EmailManager.processMailing(EmailManager.java:1205)  (line 1205 corresponds to ""messageId = debugEmail.send();"" in my code)";https://issues.apache.org/jira/browse/EMAIL-6?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
HTTPCLIENT-210;HttpComponents HttpClient;Other;Exception handling in HttpClient requires redesign;When I use httpclient2.0-alpha3 and setTimeout(60000), after the specified time, I would like to see InterruptedIOException thrown, but I got HttpRecoverableException instead, which is pretty general. I would like to see the original exception. Thanks;https://issues.apache.org/jira/browse/HTTPCLIENT-210?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20AND%20text%20~%20%22interface%22%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
XALANC-19;XalanC;Other;Xalan C crashes with this style sheet;"HERE IS A STYLE SHEET AND XML DOCUMENT THAT WILL CRASH Xalan C++ 1.1 (you can use this in testXSLT to see the crash)  This is a show stopper for us  THE STYLE SHEET ************************* <?xml version='1.0'?> <xsl:stylesheet version=""1.0"" xmlns:xsl=""http://www.w3.org/1999/XSL/Transform"" xmlns=""http://www.w3.org/TR/xhtml1/strict""> <xsl:output method=""text""/>  <xsl:variable name=""crasher""> <xsl:variable name=""crasher_internal"">Crash</xsl:variable> <xsl:choose> <xsl:when test=""/check/test/text()[self::text() =$crasher_internal]""> <xsl:text>true</xsl:text> </xsl:when> <xsl:otherwise> <xsl:text>false</xsl:text> </xsl:otherwise> </xsl:choose> </xsl:variable>  <xsl:template match=""/""> <xsl:choose> <xsl:when test=""$crasher='true'""> <xsl:text>This wont work</xsl:text> </xsl:when> <xsl:otherwise> <xsl:text>Crash text not found</xsl:text> </xsl:otherwise> </xsl:choose> </xsl:template>  </xsl:stylesheet>  END STYLE SHEET ************************ ***********************THE SOURCE DOCUMENT ************************* <check> <test>Crash</test> </check>";https://issues.apache.org/jira/browse/XALANC-19?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
1027;Fop - Now in Jira;Other;Bugs in TTFReader;"TTFReader crashes displaying following: C:\XMLRep\testovaci_data>ttfmetri.bat timesi.ttf timesi.xml TTF Reader v1.1 Reading timesi.ttf... Creating xml font file... Exception in thread ""main"" java.lang.NumberFormatException: -17.0 at java.lang.Integer.parseInt(Unknown Source) at java.lang.Integer.<init>(Unknown Source) at org.apache.fop.fonts.apps.TTFReader.constructFontXML(TTFReader.java:342) at org.apache.fop.fonts.apps.TTFReader.main(TTFReader.java:190) C:\XMLRep\testovaci_data>ttfmetri.bat cour.ttf cour.xml TTF Reader v1.1 Reading cour.ttf... java.lang.ArrayIndexOutOfBoundsException at org.apache.fop.fonts.TTFFile.readPostscript(TTFFile.java:726) at org.apache.fop.fonts.TTFFile.readFont(TTFFile.java:412) at org.apache.fop.fonts.apps.TTFReader.loadTTF(TTFReader.java:225) at org.apache.fop.fonts.apps.TTFReader.main(TTFReader.java:188) on fonts downloaded today from www.microsoft.com/typography. All courier family fonts crashes with the same error. From times family only italic variants cause described error (which i different from courier error). All Arials passed fine. Thih happned on WinNT 4.0 SP 6 with JDK 1.3.0_01 with todays cvs snapshot.";https://bz.apache.org/bugzilla/show_bug.cgi?id=1027;APACHE ;;NABATS
12132;Apache httpd-2;Other;mod_rewrite Set-Cookie bug;"There is a bug in mod_rewrite that prevents you from setting the expiration date of a cookie using the cookie|CO flag in the RewriteRule directive. The documentation states that the flag uses the following fields: 'cookie|CO=NAME:VAL:domain[:lifetime]' (set cocookie) The optional parameter ""lifetime"" is the lifetime of the cookie in minutes. Currently, when you provide this field with any positive integer, it appears to be ignored by rewrite. The cookie's expiration date is always set to the server's current time in GMT. Here is an example that *should* set the cookie lifetime to be one day. RewriteRule .* - [CO=MyCookie:1:mydomain.com:1440] The root of the problem can be found on line 4159 of mod_rewrite.c, the ""lifetime"" in seconds of the cookie is added to the request time to get the expiration date. Currently, the ""lifetime"" in seconds is being added as a long. The seconds should be transformed into apr_time before being added to the request time. r->request_time + (60 * atol(expires)) Should be changed to r->request_time + apr_time_from_sec((60 * atol(expires)))";https://bz.apache.org/bugzilla/show_bug.cgi?id=12132;APACHE ;;NABATS
STR-109;Struts;Other;ImageTag bug in altKey attribute;"The altKey attribute does not work in ImageTag.java. The setAltKey method is incorrect (line 126). It is currently;  public void setAltKey(String altKey)  { this.altKey = null; } but should read;  public void setAltKey(String altKey)  { this.altKey = altKey; }";https://issues.apache.org/jira/browse/STR-109?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
FOP-42;FOP;Other;org.apache.fop.apps.CommandLineOptions#checkSettings() (0.18.1-DEV) throws NullPointerException;"In the 0.18.1-DEV distribution in org.apache.fop.apps.CommandLineOptions, method private void checkSettings (), the check if xml file and xslt file have been set is wrong. The code is:  if (xmlfile == null || xsltfile == null){ ... "" Your input is \nxmlfile: "" + xmlfile.getAbsolutePath() + ""\nxsltfile: "" + xsltfile.getAbsolutePath()); ... }  Of course that the error throwed is java.lang.NullPointException.";https://issues.apache.org/jira/browse/FOP-42?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
SVN-471;Subversion;Other;"checking out a url ending in slash (""/"") makes lossy wc";The this_dir entries all retain a double slash in their ancestry, with the result that updates don't work (REPORT failure).  Try it and see.  This is really dumb.  Let's fix it.;https://issues.apache.org/jira/browse/SVN-471?jql=issuetype%20%3D%20Bug%20AND%20status%20in%20(Resolved%2C%20Closed)%20ORDER%20BY%20cf%5B12310220%5D%20ASC%2C%20cf%5B12312823%5D%20ASC;APACHE ;;NABATS
